guild_id,bot_id,prefix,has_slash,name_tts,language_tts
1106615853660766298,939876818465488926,,1,,
1113468860562149432,938487470339801169,,1,,
474935164451946506,1074276395640954942,!,0,Mia,it-it
474935164451946506,1098906798016184422,&,0,,
474935164451946506,1102196649729728542,+p,0,Mia,it-it
474935164451946506,938487470339801169,p,1,Pietro,it-it
474935164451946506,939876818465488926,$,1,,
474935164451946506,983315338886279229,%,0,"Amy ",en-us
608967318789160970,1074276395640954942,,1,,
608967318789160970,1098906798016184422,&,1,,
608967318789160970,1102196649729728542,*,0,Mia,it-it
608967318789160970,1102208723193176064,,1,,
608967318789160970,938487470339801169,p,1,Pietro,it-it
608967318789160970,939876818465488926,$,0,Pietro,it-it
608967318789160970,983315338886279229,%,0,Amy,en-us
876606568412639272,938487470339801169,p,1,,
876606568412639272,939876818465488926,,1,,
