user_id,id_sound,times
383358222972616705,123,1
440489230968553472,117,1
440489230968553472,113,1
383358222972616705,135,9
440489230968553472,2,5
383358222972616705,13,1
383358222972616705,29,2
383358222972616705,83,1
440489230968553472,35,4
440489230968553472,123,1
440489230968553472,28,1
383358222972616705,118,3
383358222972616705,81,1
383358222972616705,27,1
383358222972616705,19,1
383358222972616705,28,1
383358222972616705,92,1
383358222972616705,127,1
383358222972616705,89,3
383358222972616705,30,6
383358222972616705,141,1
383358222972616705,120,2
383358222972616705,17,1
383358222972616705,122,2
383358222972616705,48,1
383358222972616705,102,1
383358222972616705,35,64
440489230968553472,105,1
383358222972616705,91,1
440489230968553472,92,1
440489230968553472,79,1
383358222972616705,126,3
383358222972616705,72,2
383358222972616705,113,1
291624587278417920,137,1
291624587278417920,103,1
291624587278417920,42,1
440489230968553472,62,1
383358222972616705,117,3
440489230968553472,63,1
291624587278417920,1,1
440489230968553472,61,1
291624587278417920,21,2
440489230968553472,3,2
383358222972616705,66,1
383358222972616705,54,1
383358222972616705,55,1
383358222972616705,10,1
383358222972616705,84,1
383358222972616705,85,2
705857177046351883,112,1
383358222972616705,119,1
705857177046351883,119,1
440489230968553472,137,2
440489230968553472,115,1
440489230968553472,65,5
383358222972616705,1,9
440489230968553472,114,1
440489230968553472,81,1
440489230968553472,52,1
440489230968553472,54,1
383358222972616705,25,8
440489230968553472,25,2
440489230968553472,138,1
440489230968553472,135,10
291624587278417920,49,3
440489230968553472,42,13
440489230968553472,101,1
440489230968553472,96,8
383358222972616705,71,1
440489230968553472,22,1
440489230968553472,121,2
383358222972616705,37,1
383358222972616705,11,1
440489230968553472,39,6
383358222972616705,63,2
383358222972616705,136,3
383358222972616705,62,2
383358222972616705,61,2
440489230968553472,41,2
383358222972616705,110,1
440489230968553472,59,3
440489230968553472,126,1
383358222972616705,90,2
431324611968368652,126,2
383358222972616705,40,7
383358222972616705,20,2
383358222972616705,65,3
383358222972616705,137,5
383358222972616705,8,3
383358222972616705,42,122
383358222972616705,124,2
383358222972616705,140,8
440489230968553472,136,1
440489230968553472,122,2
440489230968553472,31,2
383358222972616705,98,2
383358222972616705,138,5
440489230968553472,51,2
440489230968553472,49,1
383358222972616705,88,1
440489230968553472,73,1
383358222972616705,104,1
383358222972616705,73,1
383358222972616705,39,6
440489230968553472,1,87
383358222972616705,49,4
440489230968553472,97,1
383358222972616705,139,3
383358222972616705,95,20
440489230968553472,141,1
383358222972616705,114,2
